model,condition,n,valid_pct,bid_matches_think_pct,parse_error_pct
Qwen/Qwen2.5-0.5B-Instruct,solo_no_history,10,70.0,90.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,two_agent,10,60.0,70.0,0.0
Qwen/Qwen2.5-1.5B-Instruct,solo_no_history,90,56.7,71.1,26.7
Qwen/Qwen2.5-1.5B-Instruct,two_agent,90,54.4,48.9,46.7
Qwen/Qwen2.5-14B-Instruct,solo_no_history,50,84.0,92.0,0.0
Qwen/Qwen2.5-14B-Instruct,two_agent,50,90.0,98.0,0.0
Qwen/Qwen2.5-32B-Instruct,solo_no_history,50,88.0,96.0,0.0
Qwen/Qwen2.5-32B-Instruct,two_agent,50,92.0,100.0,0.0
Qwen/Qwen2.5-3B-Instruct,solo_no_history,50,80.0,98.0,0.0
Qwen/Qwen2.5-3B-Instruct,two_agent,50,50.0,96.0,0.0
Qwen/Qwen2.5-72B-Instruct,solo_no_history,10,60.0,90.0,0.0
Qwen/Qwen2.5-72B-Instruct,two_agent,10,70.0,80.0,0.0
Qwen/Qwen2.5-7B-Instruct,solo_no_history,50,84.0,92.0,0.0
Qwen/Qwen2.5-7B-Instruct,two_agent,50,56.0,94.0,0.0
qwen/qwen-2.5-72b-instruct,solo_no_history,40,100.0,100.0,0.0
qwen/qwen-2.5-72b-instruct,two_agent,40,65.0,65.0,35.0
